legacy_id,full_name,email,dob,sex,bsn,phone,city,weight,weight_unit,height_cm,status,signup_date,source
rec94bHgyxkxSNT7b,Kees Wang,kees.wang@ziggo.nl,1967-04-05,F,,0611349406,Nijmegen,126.1,kg,192,churned,2025-09-26,campaign_expat_2023
rec8spGqbQLDozZ0b,Kees Kaya,kees.kaya@ziggo.nl,1996-06-09,vrouw,344140271,+31616548685,Zaandam,,kg,171,active ,2025-08-05,referral
recOgvnk0aUxowZiE,Annelies Dijkstra ,annelies.dijkstra@live.nl,1985-09-14,f,369491191,+31652365391,Breda,225.3,lbs,175,Active,2024-09-05,campaign_expat_2023
recmECVUb73tudbhR,Lucas Hendriks,lucas.hendriks@gmail.com,1968-08-06,F,,06-18005542,Delft,158.3,kg,194,actief,2024-07-30,typeform
recIQC9lQsfvJqwDS,Daan Bos,daan.bos@hotmail.com,1990-01-18,m,743955316,0652182180,Groningen,128.0,kg,185,ACTIEF,04/10/2022,typeform
recZysyjPPg0AK4ev,Julia Brouwer,julia.brouwer@ziggo.nl,06-01-1991,F,,+31632399552,Delft,79.7,kg,164,ACTIEF,20-11-2023,website
rec3c5F5ZYbZbByij,Fatima Nair,fatima.nair@outlook.com,04/24/1998,Female,792226999,+31684247638,Maastricht,97.7,kg,155,paused,2022-03-26,campaign_expat_2023
rech798mhNEjHR5HL,Gijs El Amrani,gijs.elamrani@ziggo.nl,1983-12-16,female,360288017,+31646812902,Tilburg,97.6,kg,160,active ,2025-11-28,import
recGGdBsW80bXxzKf,Lisa de Groot,lisa.degroot@kpnmail.nl,06/04/2006,F,,06-14797259,Delft,150.1,kg,195,Prospect,2023-06-30,campaign_expat_2023
recO1leAsakKZGuyT,Lucas Ivanov,lucas.ivanov@yahoo.com,1989-07-11,vrouw,451940854,+31641864085,Eindhoven,125.3,kg,173,actief,20-09-2022,website
recNN8Z9PYoAiyOqN,Finn Mulder,finn.mulder@outlook.com,1971-07-22,f,,06-74629344,Amersfoort,100.0,kg,157,active,15-06-2023,referral
recc2yfmAde8ZwgSW,Emily de Groot,emily.degroot@live.nl,2002-05-09,F,788759188,06-89265579,Amsterdam,106.6,kg,176,actief,09/07/2022,import
reculKsA5qEyEdcbl,Bram Jansen,bram.jansen@protonmail.com,1963-08-20,F,934600144,+31657056187,Nijmegen,85.3,kg,178,active,2024-08-27,campaign_expat_2023
recF7n51IjTwTKNTW,Oliver Demir,oliver.demir@outlook.com,1958-09-24,vrouw,,06-55610567,Haarlem,115.3,kg,180,cancelled,2025-09-22,import
rechFnT5jvsZEIUVP,Sem de Boer,sem.deboer@yahoo.com,03-02-1960,V,,+31617612096,Den Haag,111.8,kg,181,actief,2024-01-20,typeform
recTpTFqUYmkxtTCO,Sophie Bakker,sophie.bakker@kpnmail.nl,11-05-2002,male,129246542,06-55111261,Amersfoort,,kg,168,churned,06/28/2023,campaign_expat_2023
recwWPlQe3T71uqIm,Zeynep Ricci,zeynep.ricci@ziggo.nl,2001-04-09,F,204772916,0680824999,Rotterdam,95.6,kg,182,ACTIEF,2025-03-11,website
rec2AYUBbkGrgbd15,Kees Wang,kees.wang@gmail.com,1993-04-01,Male,,+31678969586,Haarlem,132.7,kg,181,Churned,2022-06-29,website
rec9DdtqpksT66P5D,Ruben van Leeuwen,ruben.vanleeuwen@gmail.com,02-11-1984,male,,+31685432225,Almere,79.1,kg,153,actief,13-11-2023,import
rec4ljkEcpPAc4gyS,Oliver de Vries,oliver.devries@ziggo.nl,1965-03-30,female,,+31662573716,Amersfoort,93.3,kg,181,prospect,2024-12-23,campaign_expat_2023
recqfJ3wa5SjPdwwz,Wei Taylor,wei.taylor@icloud.com,2003-04-06,man,447094981,+31606373522,Tilburg,76.2,kg,156,cancelled,2025-08-20,import
rec5z024ad07XnB4m,Zeynep Vos,zeynep.vos@ziggo.nl,1959-08-24,male,887891238,+31643620328,Zwolle,132.1,kg,190,cancelled,2025-10-17,typeform
recWXI3glhzUftA26,Levi Visser,levi.visser@kpnmail.nl,1993-10-16,F,,06-26596145,Tilburg,133.9,kg,196,opgezegd,2025-12-20,referral
rec1Yr9vO25G2ddyo,Sofia van Leeuwen,sofia.vanleeuwen1@gmail.com,1990-12-29,male,,+31631851762,Amersfoort,141.7,kg,194,actief,2023-02-03,website
recQEbFJUaX4b84GR,Ivan Smit,ivan.smit@kpnmail.nl,1966-09-20,V,459068842,0601013378,Groningen,96.0,kg,167,active,2025-05-01,import
recbNPmcJ6tm80xRg,Annelies Rossi,annelies.rossi@yahoo.com,1980-03-09,F,,0680870600,Zwolle,88.2,kg,165,Churned,2025-09-03,import
recRi9aekTnYBWyPi,Mohammed Horvat,mohammed.horvat@outlook.com,1995-11-09,V,165848432,,Breda,91.4,kg,163,Paused,2025-08-29,website
reciWFUnffDH01j6G,Ivan Wilson,ivan.wilson@ziggo.nl,2004-03-25,female,,+31634833931,Almere,121.0,kg,177,Churned,01/21/2023,typeform
rec7KWmWZqYGta0lI,Emily de Jong,emily.dejong@yahoo.com,24-08-1976,Female,,+31617477009,Delft,110.7,kg,164,active ,2023-11-13,campaign_expat_2023
recdzSUQjTsQBFvWZ,Giulia Ricci,giulia.ricci@icloud.com,03/27/1962,F,,+31697335048,Arnhem,64.0,kg,154,Churned,2023-04-22,campaign_expat_2023
recjH1MAp21WupjkB,Zeynep Wang,zeynep.wang@ziggo.nl,1979-11-11,man,898015418,+31611512013,Eindhoven,93.3,kg,155,gepauzeerd,2025-11-13,typeform
reccSd6YZZpY0PJc7,Elena Vos,Elena.Vos@Protonmail.Com,06/18/1961,F,,06-39635611,Haarlem,79.5,kg,169,actief,2022-04-27,referral
recwGGrYEe4yqraJp,Mei Hendriks,mei.hendriks@kpnmail.nl,1960-10-30,male,780579513,0673987482,Zaandam,150.9,kg,191,Active,2024-01-24,import
recYaUKv2HDlMMSAu,Willem Jones,willem.jones@yahoo.com,1979-08-21,vrouw,783829851,06-97903170,Zwolle,73.0,kg,159,gepauzeerd,2024-01-31,typeform
rec28CR2OuH9vYAR2,Zeynep Petrov,zeynep.petrov@icloud.com,09/16/1978,V,,+31600858155,Breda,101.6,kg,159,ACTIEF,2022-08-08,campaign_expat_2023
recxBlsZLVI9ShbX5,Lotte de Wit,lotte.dewit1@live.nl,1974-10-29,F,,+31621789322,Groningen,102.2,kg,191,active,08-08-2022,typeform
recfZDBJSFIyGgDIv,Fatima van den Berg,fatima.vandenberg1@hotmail.com,03/21/1989,m,452455157,,Nijmegen,81.5,kg,158,Active,06/22/2022,campaign_expat_2023
recxjQ2X1Vq0kxXSg,Eva Wang,eva.wang2@live.nl,1992-09-01,female,246337576,+31618238276,Breda,110.8,kg,162,Active,2024-01-17,referral
reckfMPxGHESYk9wC,Teun Wang,teun.wang@outlook.com,2005-05-18,m,,06-20883784,Nijmegen,72.4,kg,157,Churned,17-01-2023,campaign_expat_2023
recq3rbxXR9J7qLMY,Olga van der Meer,olga.vandermeer@protonmail.com,1972-07-13,Male,592513580,0674482779,Apeldoorn,137.6,kg,181,active,2025-05-15,website
recH3MfL7AncnYHu5,Sophie Brown,sophie.brown@ziggo.nl,2003-01-20,m,539122452,+31620321147,Amsterdam,108.9,kg,196,active,2026-03-09,import
rec7W0LHr70xGOFBj,Lotte Jones,lotte.jones@kpnmail.nl,1996-04-29,man,,06-40944492,Den Haag,78.3,kg,169,churned,2025-10-05,import
recsXAiuCzicFwVGx,Maud Novak,maud.novak@live.nl,01/01/1970,Male,,+31629466951,Nijmegen,131.9,kg,182,actief,11/09/2023,campaign_expat_2023
rechpBETy8nxO0sz3,Kees van den Berg,kees.vandenberg1@yahoo.com,1993-03-25,M,309470274,+31657337229,Zwolle,118.2,kg,173,active,2024-08-18,import
recXDLtmVWyGfUt6S,Thijs Dijkstra,thijs.dijkstra@outlook.com,1977-05-20,M,,06-30783274,Zwolle,115.0,kg,172,ACTIEF,2025-09-21,typeform
reckU28i8z2grKMf6,Marieke Meijer,marieke.meijer@ziggo.nl,1975-07-21,female,125551216,+31611018297,Zaandam,101.1,kg,186,active ,02/23/2023,typeform
recNQWuzme48RMWc1,Femke van der Meer,femke.vandermeer@ziggo.nl,2000-10-05,Male,,+31639438151,Zwolle,64.9,kg,156,Churned,2025-05-05,referral
reccWkruXkqGFxBas,Wei Sharma,wei.sharma@live.nl,1983-05-03,man,143608939,+31644196176,Rotterdam,123.7,kg,179,active,06-05-2023,typeform
recBBNGq6sZeiKkjk,Anna Mulder,anna.mulder@gmail.com,2004-10-09,M,,,Den Haag,80.7,kg,176,active ,2022-03-24,referral
recb08kGEkd5K9kxT,Grace Rossi,grace.rossi@outlook.com,1999-08-18,Female,,06-25536127,Zwolle,138.9,kg,189,Prospect,2025-09-28,campaign_expat_2023
recamcokQxxxLJ3wo,Eva Visser,eva.visser@ziggo.nl,1958-02-25,man,,+31680255387,Zwolle,111.5,kg,194,cancelled,2026-03-16,typeform
rec1ARgQ7THiq4gzR,Bram Smit,bram.smit@live.nl,1980-09-30,vrouw,190437790,+31671404848,Leiden,98.2,kg,189,actief,2024-03-12,referral
recAk4eNhK8YaoPvu,Ruben Rossi,ruben.rossi@ziggo.nl,1966-05-14,m,200905351,+31661422600,Leiden,98.6,kg,168,actief,08/27/2022,website
recgSvuj7dmOhR9SF,Noor Rossi,noor.rossi@hotmail.com,15-07-1993,m,,06-48486963,Dordrecht,99.0,kg,187,ACTIEF,2023-05-15,typeform
recOQMF8sSSUiA8CD,Teun van den Berg,teun.vandenberg@icloud.com,1965-10-28,vrouw,690294141,+31690234031,Breda,111.2,kg,166,new,2023-07-01,typeform
reczsffSqmhYwB8MN,Lotte Smits,lotte.smits@ziggo.nl,1998-12-14,V,,06-14735041,Apeldoorn,65.6,kg,157,Active,2025-01-16,referral
rec74i3QBE7e9ihFW,Lisa Horvat,lisa.horvat@live.nl,1975-08-12,vrouw,,+31656648282,Tilburg,66.8,kg,154,ACTIEF,2024-11-15,import
recZYPM6NPstlI35P,Roos Andersen,roos.andersen@gmail.com,1963-04-28,m,,+31628316951,Eindhoven,101.8,kg,168,churned,11-03-2024,website
rec4v0gihG6gEIlWq,Arjun Ivanov,arjun.ivanov@kpnmail.nl,1958-03-02,M,,,Maastricht,116.0,kg,193,gepauzeerd,2025-12-24,website
recVCsbtwjXUBZYLR,Ahmed Jones,ahmed.jones@protonmail.com,2005-11-25,f,,+31632324138,Breda,108.5,kg,171,Active,2025-07-18,referral
recIJ0tZDyXfz6zQC,Thijs Wilson,thijs.wilson@protonmail.com,1981-10-07,V,857294520,+31640224508,Haarlem,117.9,kg,194,churned,2025-10-10,typeform
recSzPICBjmiYWFAr,Jan de Jong,jan.dejong@outlook.com,1965-11-30,Female,,,Zwolle,145.8,kg,193,Churned,2025-08-01,referral
recZOWpCokMpjwDgV,Luuk Jones,luuk.jones@protonmail.com,1990-11-20,f,625797632,+31686773279,Groningen,86.3,kg,175,active ,2025-10-22,website
recswfHd6wUQU3wEO,Willem Taylor,willem.taylor@gmail.com,1979-05-14,m,,06-88946341,Tilburg,171.3,lbs,162,Churned,2023-10-13,website
rec5SsdwbUgmyLs9v,James de Graaf,james.degraaf@icloud.com,2001-05-03,male,,+31697844628,Maastricht,89.1,kg,169,on hold,03/29/2023,import
rec1mxgtVYjqQuSJD,Fleur Brown,fleur.brown@kpnmail.nl,1969-02-18,f,,06-48406844,Dordrecht,150.1,kg,194,actief,2026-04-03,typeform
recflg2SPfE0FbTR0,Mohammed van Dijk,mohammed.vandijk@protonmail.com,1960-06-07,m,,06-87812542,Leiden,95.4,kg,156,Active,2026-04-03,typeform
reco8ERIjC6AMg23D,Elena Dijkstra,elena.dijkstra@yahoo.com,1982-06-20,Male,,+31660681971,Zwolle,65.8,kg,155,cancelled,2025-09-27,typeform
receygo8CjgPNbPEz,Ahmed Costa,ahmed.costa@kpnmail.nl,1981-05-10,m,,0663514714,Utrecht,69.5,kg,152,opgezegd,2024-06-24,website
recG4j34SCFdoYMf1,Mohammed Costa,mohammed.costa@yahoo.com,1965-12-06,vrouw,,06-46954329,Dordrecht,104.8,kg,181,Active,2026-05-26,website
rec0Me66uzApvI6si,Youssef Petrov,youssef.petrov@kpnmail.nl,2000-02-10,Female,,06-87775808,Amsterdam,72.6,kg,152,churned,2025-02-08,website
recINoxNjemQy1Q2E,Oliver Nowak,oliver.nowak@live.nl,2007-11-28,female,,+31675947340,Apeldoorn,76.2,kg,164,active,2025-08-18,typeform
recZAInZfDw9Bag62,Luuk de Groot,luuk.degroot@ziggo.nl,2006-06-15,Male,,+31670811116,Nijmegen,132.7,kg,197,active,2024-01-01,import
recuKLP7ALcTmoSiX,Willem Smith,willem.smith@ziggo.nl,1976-02-03,female,,+31657370703,Arnhem,332.2,lbs,197,ACTIEF,2024-04-04,campaign_expat_2023
recGfpXOnsWCbrlLF,Anna van Dijk ,anna.vandijk@live.nl,1970-10-25,F,486073270,+31614187188,Dordrecht,124.4,kg,189,Churned,2023-01-07,import
recOU3wDdaUC955J2,Roos Kaya,roos.kaya@protonmail.com,2005-05-18,female,379883545,0609804709,Nijmegen,129.0,kg,187,active ,2024-08-10,website
reclSGV90gurDu28v,Eva Wang,eva.wang@yahoo.com,1989-10-30,V,,+31604356946,Den Haag,103.6,kg,188,Active,2024-06-12,typeform
recNq9KF3qYaE8Uvs,Bram Nair,bram.nair@yahoo.com,1971-07-11,F,101076873,+31637587882,Zaandam,94.8,kg,164,Active,2023-06-21,typeform
recsaodLYKcYwYcjH,Noor El Amrani,noor.elamrani@yahoo.com,2002-04-02,Male,271017080,+31619078473,Apeldoorn,114.2,kg,185,Paused,2025-03-18,import
recKRH73bSqMI50o0,Kees de Boer,kees.deboer@yahoo.com,05/25/2007,V,,06-52136254,Rotterdam,114.1,kg,171,churned,04-08-2022,typeform
recHN7yJPGP8Z7Avm,Piotr de Graaf,piotr.degraaf@protonmail.com,1963-05-04,F,611223934,+31653181421,Maastricht,93.1,kg,160,opgezegd,06/12/2023,typeform
rec2sdGKWVk87Hdc3,Kees Wang,kees.wang@live.nl,1967-04-23,male,,+31636847597,Leiden,147.8,kg,192,cancelled,2026-05-12,referral
rec3NtGgj7t43o36t,Julia Yilmaz,julia.yilmaz@icloud.com,2004-05-31,Female,,+31687267475,Leiden,110.4,kg,191,Prospect,2026-02-26,referral
recLn3yFTpVT39eZ8,James Hendriks,james.hendriks@hotmail.com,1996-08-08,f,,06-35691220,Nijmegen,135.3,kg,191,actief,2024-08-06,referral
recEkKkvXJ8wbSSt8,Amira Andersen,amira.andersen@hotmail.com,1984-09-29,male,,,Almere,,kg,170,active ,10/20/2022,import
recenobPC2XlNPjnz,Lisa de Jong,lisa.dejong@ziggo.nl,01/30/1978,male,686603175,+31608653076,Arnhem,130.9,kg,176,actief,04/04/2022,typeform
rech3Gz1xZlMyAec8,Wei Smits,wei.smits@protonmail.com,07/23/1978,male,,06-60480202,Almere,82.7,kg,158,opgezegd,2024-05-07,campaign_expat_2023
recJV6h9hvnTFtC6t,Ruben Benali,ruben.benali@outlook.com,1991-09-05,vrouw,,06-88782939,Rotterdam,81.0,kg,169,ACTIEF,14-01-2023,campaign_expat_2023
rec25OwXnc8w84D9x,Kees Ricci,kees.ricci@outlook.com,1997-07-05,Male,414926948,06-47628761,Nijmegen,109.6,kg,191,actief,2022-05-28,campaign_expat_2023
recrGHX8TWF4USvV6,Elena Brouwer ,elena.brouwer@gmail.com,1963-10-15,f,,,Maastricht,111.4,kg,169,gepauzeerd,2026-01-18,website
reclKagB3D5fRxjaP,Emily de Jong,emily.dejong@kpnmail.nl,2001-10-29,F,,+31645322514,Almere,125.7,kg,195,active ,2025-02-22,referral
reccShpGf99JPp7Y9,Sem de Boer,sem.deboer@protonmail.com,1994-04-26,F,,06-07330638,Eindhoven,78.4,kg,161,paused,2024-09-07,website
rec5pVT8NBxbmUqs4,Youssef van den Berg,youssef.vandenberg@kpnmail.nl,1999-08-24,male,,+31654135321,Eindhoven,119.2,kg,175,Active,2024-09-20,typeform
recNFRrTp1VM8q7fw,Sem van Dijk,sem.vandijk@gmail.com,1973-07-29,m,,0600935876,Apeldoorn,95.3,kg,182,gepauzeerd,2062-04-07,typeform
recaSHhJNWKb7kpdo,Milan Petrov,milan.petrov@gmail.com,17-02-1997,man,,+31681726425,Zwolle,82.8,kg,156,paused,2023-10-25,typeform
rec8SBjfe7DBJmOJe,Noor Bakker,noor.bakker@ziggo.nl,11/03/1976,M,889524841,,Zaandam,98.7,kg,162,cancelled,2026-02-13,typeform
recw17QClPeHtFQ2V,Sem Nair,sem.nair@kpnmail.nl,23-01-1983,female,,06-13157202,Den Haag,68.2,kg,152,ACTIEF,2022-12-05,typeform
rececr4z1WGXdOTpD,Roos Kowalski,roos.kowalski@hotmail.com,1985-07-15,man,994559495,0655095048,Groningen,,kg,157,ACTIEF,2024-10-23,website
recBoYfb1sL6RbveR,Luuk Chen,luuk.chen@yahoo.com,1959-08-28,man,,+31673191802,Den Haag,114.7,kg,194,Active,2024-11-03,campaign_expat_2023
rec6sqRcb70ZxJtZN,Emre Visser,emre.visser@hotmail.com,1991-07-09,F,,06-83569494,Haarlem,95.4,kg,173,actief,2025-08-02,website
reck8EyZ4q05q4lhq,Amira Nowak,amira.nowak@protonmail.com,1967-12-19,man,,06-76308624,Arnhem,106.1,kg,166,gepauzeerd,2022-03-25,referral
recdMFDUUnOaJN1Hm,Lotte van Leeuwen,lotte.vanleeuwen@hotmail.com,20-05-1960,male,403037475,06-46105593,Apeldoorn,136.7,kg,194,ACTIEF,12/09/2023,import
recUZIJmR6Q8HrW43,Julia Wang,julia.wang@icloud.com,1975-04-14,man,398799805,0647504579,Haarlem,117.3,kg,171,opgezegd,2026-02-10,campaign_expat_2023
recZO13C10Bi8Tcof,Ahmed de Vries,ahmed.devries@yahoo.com,1971-04-22,m,,0647648601,Amsterdam,73.9,kg,154,actief,2025-05-02,website
rec5sUvDOF3AsJUjX,Marieke Andersen,marieke.andersen@gmail.com,1964-02-03,M,,06-21780772,Eindhoven,115.7,kg,190,paused,2025-04-30,typeform
recyv2zTijFSm3dAD,Sem Rossi,sem.rossi@gmail.com,1968-07-27,V,,,Leiden,74.9,kg,153,ACTIEF,2026-04-15,campaign_expat_2023
recKTp8xCr2IiLcBr,Anna Meijer,anna.meijer@yahoo.com,2006-01-20,vrouw,,,Utrecht,94.2,kg,174,active ,27-05-2024,typeform
recy0gZeSQQ9Yc1N0,Annelies Meijer,annelies.meijer@icloud.com,1964-08-22,Female,334824825,06-26292522,Maastricht,89.7,kg,164,active,27-04-2023,website
recFWxtwsIveMCgyq,Priya Smits ,priya.smits@hotmail.com,1965-06-01,female,,0618031902,Zwolle,108.2,kg,187,paused,2026-01-25,campaign_expat_2023
rec6y77rTX3i98gSZ,Emre El Amrani,emre.elamrani@hotmail.com,1998-10-24,V,,0689682260,Tilburg,128.5,kg,177,new,2026-03-06,referral
recmwQULflHUmkVPC,Annelies Benali,annelies.benali@hotmail.com,1985-01-29,F,,+31672048828,Nijmegen,126.3,kg,198,Active,2024-06-25,import
